Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
32;Arcade;ArcadeCar-299955;2665;23;23;53,3394;300;40,81981;75;8,254571;952;25
33;Arcade;ArcadeCar-299955;3305;23;23;66,06025;300;32,71033;75;16,54986;959;26
34;Arcade;ArcadeCar-299955;14998;21;23;300;300;6,951175;75;10,95516;965;27
35;Arcade;ArcadeCar-299955;2880;23;23;57,52196;300;37,45506;75;11,81422;972;32
36;Arcade;ArcadeCar-299955;3569;23;23;71,42982;300;30,35384;75;12,34869;980;26
37;Arcade;ArcadeCar-299955;2958;23;23;59,12576;300;36,25845;75;17,36871;983;27
38;Arcade;ArcadeCar-299955;3029;23;23;60,50553;300;36,03251;75;9,213731;988;27
39;Arcade;ArcadeCar-299955;14993;3;23;300;300;1,442719;75;1,339032;992;30
40;Arcade;ArcadeCar-299955;15004;13;23;300;300;4,354151;75;6,164332;996;31
41;Arcade;ArcadeCar-299955;2578;23;23;51,47951;300;41,05603;75;8,414;999;31
42;Arcade;ArcadeCar-299955;2700;23;23;53,9839;300;39,49391;75;8,277518;1004;30
43;Arcade;ArcadeCar-299955;14999;1;23;300;300;0,9518651;75;0,272048;1005;30
44;Arcade;ArcadeCar-299955;4072;23;23;81,42799;300;26,5941;75;7,909132;1015;28
45;Arcade;ArcadeCar-299955;15000;11;23;300;300;3,846457;75;6,211999;1017;31
46;Arcade;ArcadeCar-299955;4034;23;23;80,62091;300;26,39156;75;12,63659;1024;30
47;Arcade;ArcadeCar-299955;3355;23;23;67,12036;300;31,89247;75;14,99407;1030;34
48;Arcade;ArcadeCar-299955;3510;23;23;70,20277;300;30,74247;75;17,82409;1035;30
49;Arcade;ArcadeCar-299955;15002;19;23;300;300;6,393018;75;6,274518;1040;28
50;Arcade;ArcadeCar-299955;15003;22;23;300;300;7,163037;75;13,50719;1042;29
0;Arcade;ArcadeCar-399882;4826;23;23;96,47947;300;22,6295;75;9,100486;1046;33
1;Arcade;ArcadeCar-399882;2572;23;23;51,43069;300;42,13192;75;7,531672;1049;25
2;Arcade;ArcadeCar-399882;4373;23;23;87,46896;300;24,6735;75;9,535475;1053;26
3;Arcade;ArcadeCar-399882;2975;23;23;59,50723;300;36,40441;75;12,27964;1059;33
4;Arcade;ArcadeCar-399882;14999;7;23;300;300;2,819116;75;4,12132;1060;33
5;Arcade;ArcadeCar-399882;4776;23;23;95,45032;300;22,65714;75;8,779047;1066;30
