Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
16;Arcade;ArcadeCar-599912;2582;23;23;51,65443;300;42,30424;75;11,86505;0;0
17;Arcade;ArcadeCar-599912;2593;23;23;51,85917;300;41,67896;75;12,03015;0;0
18;Arcade;ArcadeCar-599912;2725;23;23;54,4849;300;39,52906;75;15,61552;0;0
19;Arcade;ArcadeCar-599912;2633;23;23;52,67434;300;40,93682;75;13,12148;0;0
20;Arcade;ArcadeCar-599912;2546;23;23;50,92215;300;42,39824;75;10,96799;0;0
21;Arcade;ArcadeCar-599912;2516;23;23;50,31665;300;42,95606;75;10,39641;0;0
22;Arcade;ArcadeCar-599912;2557;23;23;51,14388;300;42,34534;75;11,02667;0;0
23;Arcade;ArcadeCar-599912;2681;23;23;53,61844;300;40,7503;75;14,71151;0;0
24;Arcade;ArcadeCar-599912;2678;23;23;53,56097;300;40,24643;75;14,0751;0;0
25;Arcade;ArcadeCar-599912;2537;23;23;50,72433;300;42,3344;75;11,09258;0;0
0;Arcade;ArcadeCar-699996;2454;23;23;49,08067;300;43,66065;75;9,141046;0;0
1;Arcade;ArcadeCar-699996;2597;23;23;51,95504;300;41,63514;75;11,88473;0;0
2;Arcade;ArcadeCar-699996;2900;23;23;57,99993;300;37,30304;75;19,32725;0;0
3;Arcade;ArcadeCar-699996;2781;23;23;55,61987;300;38,57058;75;16,48252;0;0
4;Arcade;ArcadeCar-699996;2856;23;23;57,10409;300;38,03876;75;18,81171;0;0
5;Arcade;ArcadeCar-699996;2872;23;23;57,45523;300;37,58002;75;18,92854;0;0
6;Arcade;ArcadeCar-699996;2566;23;23;51,32002;300;41,8971;75;11,69729;0;0
7;Arcade;ArcadeCar-699996;2927;23;23;58,54034;300;37,39665;75;19,37637;0;0
8;Arcade;ArcadeCar-699996;2782;23;23;55,63765;300;38,75828;75;16,93259;0;0
9;Arcade;ArcadeCar-699996;2438;23;23;48,76084;300;43,99693;75;8,865625;0;0
10;Arcade;ArcadeCar-699996;2829;23;23;56,56462;300;38,24759;75;17,71395;0;0
11;Arcade;ArcadeCar-699996;2453;23;23;49,07297;300;43,67011;75;8,833228;0;0
12;Arcade;ArcadeCar-699996;2974;23;23;59,48293;300;36,64437;75;21,0033;0;0
13;Arcade;ArcadeCar-699996;2821;23;23;56,40603;300;37,9984;75;17,64841;0;0
14;Arcade;ArcadeCar-699996;2876;23;23;57,52079;300;37,79499;75;18,52379;0;0
15;Arcade;ArcadeCar-699996;2517;23;23;50,3516;300;42,76114;75;10,41259;0;0
16;Arcade;ArcadeCar-699996;2917;23;23;58,32559;300;37,06766;75;19,9005;0;0
17;Arcade;ArcadeCar-699996;2772;23;23;55,45719;300;38,94907;75;16,64356;0;0
18;Arcade;ArcadeCar-699996;2480;23;23;49,58369;300;43,1171;75;10,09058;0;0
19;Arcade;ArcadeCar-699996;2743;23;23;54,87328;300;39,08744;75;15,40805;0;0
20;Arcade;ArcadeCar-699996;2862;23;23;57,2398;300;37,8419;75;18,30423;0;0
21;Arcade;ArcadeCar-699996;2541;23;23;50,82142;300;42,56777;75;11,43535;0;0
22;Arcade;ArcadeCar-699996;2534;23;23;50,66645;300;42,3426;75;11,05963;0;0
23;Arcade;ArcadeCar-699996;2911;23;23;58,23416;300;37,39895;75;19,63746;0;0
24;Arcade;ArcadeCar-699996;2895;23;23;57,8819;300;37,53544;75;19,91615;0;0
25;Arcade;ArcadeCar-699996;2508;23;23;50,16157;300;42,75387;75;10,27253;0;0
0;Arcade;ArcadeCar-799926;2419;23;23;48,3938;300;44,2363;75;8,257871;0;0
1;Arcade;ArcadeCar-799926;2953;23;23;59,04731;300;36,70317;75;21,21916;0;0
2;Arcade;ArcadeCar-799926;2808;23;23;56,17493;300;38,55891;75;17,87529;0;0
3;Arcade;ArcadeCar-799926;2884;23;23;57,6793;300;37,60726;75;19,27345;0;0
4;Arcade;ArcadeCar-799926;2917;23;23;58,33949;300;37,3248;75;20,38581;0;0
5;Arcade;ArcadeCar-799926;2941;23;23;58,80536;300;36,93555;75;20,17449;0;0
6;Arcade;ArcadeCar-799926;2481;23;23;49,63573;300;43,07541;75;9,956341;0;0
7;Arcade;ArcadeCar-799926;2804;23;23;56,07746;300;38,34494;75;17,62111;0;0
8;Arcade;ArcadeCar-799926;2858;23;23;57,16404;300;37,93894;75;18,74248;0;0
9;Arcade;ArcadeCar-799926;2421;23;23;48,40293;300;44,10867;75;8,644216;0;0
10;Arcade;ArcadeCar-799926;2515;23;23;50,31617;300;42,75317;75;10,22537;0;0
11;Arcade;ArcadeCar-799926;2768;23;23;55,35698;300;38,73925;75;16,923;0;0
12;Arcade;ArcadeCar-799926;2811;23;23;56,20826;300;38,59079;75;17,60765;0;0
13;Arcade;ArcadeCar-799926;2769;23;23;55,38671;300;39,06147;75;16,21527;0;0
14;Arcade;ArcadeCar-799926;2806;23;23;56,12806;300;38,41498;75;17,17534;0;0
15;Arcade;ArcadeCar-799926;2908;23;23;58,159;300;37,40804;75;20,41271;0;0
16;Arcade;ArcadeCar-799926;2855;23;23;57,0844;300;37,58741;75;19,92576;0;0
